name,country,iata,icao,timezone_pytz,state
Muir Army Air Field (Fort Indiantown Gap) Airport,United States,MUI,KMUI,America/New_York,Pennsylvania
Kapalua Airport,United States,JHM,PHJH,Pacific/Honolulu,Hawaii
John F Kennedy International Airport,United States,JFK,KJFK,America/New_York,New York
Homestead ARB Airport,United States,HST,KHST,America/New_York,Florida
Riverside Municipal Airport,United States,RAL,KRAL,America/Los_Angeles,California
Sherman Army Air Field,United States,FLV,KFLV,America/Chicago,Missouri
Wallops Flight Facility Airport,United States,WAL,KWAL,America/New_York,Virginia
Holloman Air Force Base,United States,HMN,KHMN,America/Denver,New Mexico
Willow Grove Naval Air Station/Joint Reserve Base,United States,NXX,KNXX,America/New_York,Pennsylvania
Cheyenne Regional Jerry Olson Field,United States,CYS,KCYS,America/Denver,Wyoming
Stockton Metropolitan Airport,United States,SCK,KSCK,America/Los_Angeles,California
Charleston Air Force Base-International Airport,United States,CHS,KCHS,America/New_York,South Carolina
Reno Tahoe International Airport,United States,RNO,KRNO,America/Los_Angeles,Nevada
Ketchikan International Airport,United States,KTN,PAKT,America/Anchorage,Alaska
Willow Run Airport,United States,YIP,KYIP,America/New_York,Michigan
Vandenberg Air Force Base,United States,VBG,KVBG,America/Los_Angeles,California
Birmingham-Shuttlesworth International Airport,United States,BHM,KBHM,America/Chicago,Alabama
Lakehurst Maxfield Field Airport,United States,NEL,KNEL,America/New_York,New Jersey
